state_id,cases,date
20,0,16-02-2020
21,0,16-02-2020
22,0,16-02-2020
23,0,16-02-2020
24,0,16-02-2020
25,0,16-02-2020
26,0,16-02-2020
27,0,16-02-2020
28,0,16-02-2020
29,0,16-02-2020
30,0,16-02-2020
31,0,16-02-2020
32,0,16-02-2020
0,0,16-02-2020
1,0,17-02-2020
2,0,17-02-2020
3,0,17-02-2020
4,0,17-02-2020
7,0,17-02-2020
8,0,17-02-2020
9,0,17-02-2020
5,0,17-02-2020
6,0,17-02-2020
10,0,17-02-2020
11,0,17-02-2020
12,0,17-02-2020
13,0,17-02-2020
14,0,17-02-2020
15,0,17-02-2020
16,0,17-02-2020
17,0,17-02-2020
18,0,17-02-2020
19,0,17-02-2020
20,0,17-02-2020
21,0,17-02-2020
22,0,17-02-2020
23,0,17-02-2020
24,0,17-02-2020
25,0,17-02-2020
26,0,17-02-2020
27,0,17-02-2020
28,0,17-02-2020
29,0,17-02-2020
30,0,17-02-2020
31,0,17-02-2020
32,0,17-02-2020
0,0,17-02-2020
1,0,18-02-2020
2,0,18-02-2020
3,0,18-02-2020
4,0,18-02-2020
7,0,18-02-2020
8,0,18-02-2020
9,0,18-02-2020
5,0,18-02-2020
6,0,18-02-2020
10,0,18-02-2020
11,0,18-02-2020
12,0,18-02-2020
13,0,18-02-2020
14,0,18-02-2020
15,0,18-02-2020
16,0,18-02-2020
17,0,18-02-2020
18,0,18-02-2020
19,0,18-02-2020
20,0,18-02-2020
21,0,18-02-2020
22,0,18-02-2020
23,0,18-02-2020
24,0,18-02-2020
25,0,18-02-2020
26,0,18-02-2020
27,0,18-02-2020
28,0,18-02-2020
29,0,18-02-2020
30,0,18-02-2020
31,0,18-02-2020
32,0,18-02-2020
0,0,18-02-2020
1,0,19-02-2020
2,0,19-02-2020
3,0,19-02-2020
4,0,19-02-2020
7,0,19-02-2020
8,0,19-02-2020
9,0,19-02-2020
5,0,19-02-2020
6,0,19-02-2020
10,0,19-02-2020
11,0,19-02-2020
12,0,19-02-2020
13,0,19-02-2020
14,0,19-02-2020
